id,date,week_day,steps,distance,very_active_min,fair_active_min,light_active_min,sed_min,calories
1503960366,"2016-03-25 00:00:00",Friday,11004,7.110000134,33,12,205,804,1819
1503960366,"2016-03-26 00:00:00",Saturday,17609,11.55000019,89,17,274,588,2154
1503960366,"2016-03-27 00:00:00",Sunday,12736,8.529999733,56,5,268,605,1944
1503960366,"2016-03-28 00:00:00",Monday,13231,8.930000305,39,20,224,1080,1932
1503960366,"2016-03-29 00:00:00",Tuesday,12041,7.849999905,28,28,243,763,1886
1503960366,"2016-03-30 00:00:00",Wednesday,10970,7.159999847,30,13,223,1174,1820
1503960366,"2016-03-31 00:00:00",Thursday,12256,7.860000134,33,12,239,820,1889
1503960366,"2016-04-01 00:00:00",Friday,12262,7.869999886,47,21,200,866,1868
1503960366,"2016-04-02 00:00:00",Saturday,11248,7.25,40,11,244,636,1843
1503960366,"2016-04-03 00:00:00",Sunday,10016,6.369999886,15,30,314,655,1850
1503960366,"2016-04-04 00:00:00",Monday,14557,9.800000191,43,18,285,757,2030
1503960366,"2016-04-05 00:00:00",Tuesday,14844,9.729999542,36,18,341,736,2083
1503960366,"2016-04-06 00:00:00",Wednesday,11974,7.670000076,27,12,228,1173,1861
1503960366,"2016-04-07 00:00:00",Thursday,10198,6.440000057,17,20,195,1208,1755
1503960366,"2016-04-08 00:00:00",Friday,12521,7.940000057,46,22,212,1160,1895
1503960366,"2016-04-09 00:00:00",Saturday,12432,8.100000381,32,15,248,738,1883
1503960366,"2016-04-10 00:00:00",Sunday,10057,6.980000019,44,13,168,737,1755
1503960366,"2016-04-11 00:00:00",Monday,10990,7.260000229,26,14,216,855,1811
1503960366,"2016-04-12 00:00:00",Tuesday,224,0.1400000006,0,0,9,32,50
1624580081,"2016-03-25 00:00:00",Friday,1810,1.179999948,0,0,121,1319,1373
1624580081,"2016-03-26 00:00:00",Saturday,815,0.5299999714,0,0,47,1393,1264
1624580081,"2016-03-27 00:00:00",Sunday,1985,1.289999962,0,0,112,1328,1350
1624580081,"2016-03-28 00:00:00",Monday,1905,1.24000001,0,0,95,1345,1342
1624580081,"2016-03-29 00:00:00",Tuesday,1552,1.00999999,0,0,66,1374,1300
1624580081,"2016-03-30 00:00:00",Wednesday,1675,1.090000033,0,0,84,1356,1313
1624580081,"2016-03-31 00:00:00",Thursday,4506,2.930000067,7,4,144,1285,1498
1624580081,"2016-04-01 00:00:00",Friday,9218,5.989999771,0,0,221,1219,1541
1624580081,"2016-04-02 00:00:00",Saturday,1556,1.00999999,0,0,88,1352,1327
1624580081,"2016-04-03 00:00:00",Sunday,2910,1.889999986,0,0,157,1283,1452
1624580081,"2016-04-04 00:00:00",Monday,18464,12,0,0,270,1170,1574
1624580081,"2016-04-05 00:00:00",Tuesday,1335,0.8700000048,0,0,74,1366,1308
1624580081,"2016-04-06 00:00:00",Wednesday,1004,0.6499999762,0,0,55,1385,1276
1624580081,"2016-04-07 00:00:00",Thursday,1111,0.7200000286,0,0,54,1386,1278
1624580081,"2016-04-08 00:00:00",Friday,6344,4.119999886,0,0,143,1297,1409
1624580081,"2016-04-09 00:00:00",Saturday,3572,2.319999933,0,0,122,1318,1370
1624580081,"2016-04-10 00:00:00",Sunday,3910,2.539999962,7,7,186,1240,1555
1624580081,"2016-04-11 00:00:00",Monday,10000,6.5,0,0,172,1268,1469
1624580081,"2016-04-12 00:00:00",Tuesday,6627,4.309999943,0,0,89,604,706
1644430081,"2016-04-01 00:00:00",Friday,4636,3.410000086,0,16,586,838,3323
